SICcode        Catcode        Category        SICname        MultSIC
0111        A1500        Wheat, corn, soybeans and cash grain        Wheat        X
0112        A1600        Other commodities (incl rice, peanuts, honey)        Rice        X
0115        A1500        Wheat, corn, soybeans and cash grain        Corn        X
0116        A1500        Wheat, corn, soybeans and cash grain        Soybeans        X
0119        A1500        Wheat, corn, soybeans and cash grain        Cash grains, NEC        X
0131        A1100        Cotton        Cotton        X
0132        A1300        Tobacco & Tobacco products        Tobacco        X
0133        A1200        Sugar cane & sugar beets        Sugarcane and sugar beets        X
0134        A1400        Vegetables, fruits and tree nut        Irish potatoes        X
0139        A1500        Wheat, corn, soybeans and cash grain        Field crops, except cash grains, NEC        X
0161        A1400        Vegetables, fruits and tree nut        Vegetables and melons        X
0171        A1400        Vegetables, fruits and tree nut        Berry crops        X
0172        A1400        Vegetables, fruits and tree nut        Grapes        X
0173        A1400        Vegetables, fruits and tree nut        Tree nuts        X
0174        A1400        Vegetables, fruits and tree nut        Citrus fruits        X
0175        A1400        Vegetables, fruits and tree nut        Deciduous tree fruits        X
0179        A1400        Vegetables, fruits and tree nut        Fruits and tree nuts, NEC        X
0181        A8000        Florists & Nursery Services        Ornamental nursery products        X
0182        A1400        Vegetables, fruits and tree nut        Food crops grown under cover        X
0191        A1000        Crop production & basic processing        General farms, primarily crop        X
0211        A3300        Feedlots & related livestock services        Beef cattle feedlots        
0212        A3000        Livestock        Beef cattle, except feedlots        X
0213        A3000        Livestock        Hogs        X
0214        A3200        Sheep and Wool Producers        Sheep and goats        
0219        A3000        Livestock        General livestock, NEC        X
0241        A2000        Milk & dairy producers        Dairy farms        X
0251        A2300        Poultry & eggs        Broiler, fryer and roaster chickens        X
0252        A2300        Poultry & eggs        Chicken eggs        X
0253        A2300        Poultry & eggs        Turkeys and turkey eggs        X
0254        A2300        Poultry & eggs        Poultry hatcheries        X
0259        A2300        Poultry & eggs        Poultry & eggs, NEC        X
0271        A3000        Livestock        Furbearing animals and rabbits        X
0272        A3500        Horse Breeders        Horses and other equines        
0273        E4100        Fishing        Animal aquaculture        X
0279        A3000        Livestock        Animal specialties, NEC        X
0291        A3000        Livestock        General farms, primarily animal        X
0711        A4000        Agricultural services & related industries        Soil preparation services        X
0721        A4000        Agricultural services & related industries        Crop planting and protecting        X
0722        A4000        Agricultural services & related industries        Crop harvesting        X
0723        A1000        Crop production & basic processing        Crop preparation services for market        X
0724        A1100        Cotton        Cotton ginning        X
0741        A4500        Veterinarians        Veterinary Services for Livestock        X
0742        A4500        Veterinarians        Veterinary services, specialties        X
0751        A3000        Livestock        Livestock services, exc specialties        X
0752        A3000        Livestock        Animal specialty services        X
0761        A4000        Agricultural services & related industries        Farm labor contractors        X
0762        A1000        Crop production & basic processing        Farm management services        X
0781        B3600        Landscaping & Excavation Svcs        Landscape counseling and planning        X
0782        B3600        Landscaping & Excavation Svcs        Lawn and garden services        X
0783        A8000        Florists & Nursery Services        Ornamental shrub and tree services        X
0811        A5000        Forestry & Forest Products        Timber tracts        X
0831        A5000        Forestry & Forest Products        Forest products        X
0851        A5000        Forestry & Forest Products        Forestry services        X
0912        E4100        Fishing        Finfish        X
0913        E4100        Fishing        Shellfish        X
0919        E4100        Fishing        Miscellaneous marine products        X
0921        E4100        Fishing        Fish hatcheries and preserves        X
0971        E4200        Hunting & wildlife        Hunting, trapping, game propagation        
1011        E1220        Metal mining & processing        Iron ores        X
1021        E1220        Metal mining & processing        Copper ores        X
1031        E1220        Metal mining & processing        Lead and zinc ores        X
1041        E1220        Metal mining & processing        Gold ores        X
1044        E1220        Metal mining & processing        Silver ores        X
1061        E1220        Metal mining & processing        Ferroalloy ores, except vanadium        X
1081        E1220        Metal mining & processing        Metal mining services        X
1094        E1220        Metal mining & processing        Uraniumradiumvanadium ores        X
1099        E1220        Metal mining & processing        Metal ores, NEC        X
1221        E1210        Coal mining        Bituminous coal & lignitesurface        X
1222        E1210        Coal mining        Bituminous coalunderground        X
1231        E1210        Coal mining        Anthracite mining        X
1241        E1210        Coal mining        Coal mining services        X
1311        E1120        Independent oil & gas producers        Crude petroleum and natural gas        X
1321        E1120        Independent oil & gas producers        Natural gas liquids        X
1381        E1150        Oilfield service, equipment & exploration        Drilling oil and gas wells        X
1382        E1150        Oilfield service, equipment & exploration        Oil and gas exploration services        X
1389        E1150        Oilfield service, equipment & exploration        Oil and gas field services, NEC        X
1411        B5100        Stone, clay, glass & concrete products        Dimension stone        X
1422        B5100        Stone, clay, glass & concrete products        Crushed and broken limestone        X
1423        B5100        Stone, clay, glass & concrete products        Crushed and broken granite        X
