,GeoName,ComponentName,IndustryClassification,Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
5407,United States,Taxes on production and imports less subsidies,111-112,Farms,-5766.0,-15569.0,-7618.0,-3878.0,-3673.0,-3666.0,-3639.0,-1557.0,-1381.0,-1444.0,0.0
5408,United States,Taxes on production and imports less subsidies,113-115,"Forestry, fishing, and related activities",956.0,1080.0,1177.0,1353.0,1564.0,1198.0,1414.0,1595.0,1609.0,1671.0,0.0
5410,United States,Taxes on production and imports less subsidies,211,Oil and gas extraction,15338.0,20103.0,23295.0,27024.0,36385.0,23970.0,26987.0,31970.0,31468.0,33516.0,0.0
5411,United States,Taxes on production and imports less subsidies,212,"Mining, except oil and gas",3590.0,4225.0,4577.0,5007.0,4838.0,4199.0,4904.0,5875.0,5970.0,6352.0,0.0
5412,United States,Taxes on production and imports less subsidies,213,Support activities for mining,880.0,1066.0,1305.0,1575.0,1544.0,1566.0,1624.0,1885.0,2337.0,2159.0,0.0
5413,United States,Taxes on production and imports less subsidies,22,Utilities,43022.0,45992.0,50604.0,54615.0,52709.0,54180.0,55760.0,57245.0,58143.0,58776.0,0.0
5414,United States,Taxes on production and imports less subsidies,23,Construction,6687.0,7339.0,7780.0,7890.0,7549.0,7287.0,7032.0,7202.0,7216.0,7559.0,0.0
5417,United States,Taxes on production and imports less subsidies,321,Wood products manufacturing,667.0,723.0,763.0,784.0,691.0,690.0,675.0,668.0,674.0,679.0,0.0
5418,United States,Taxes on production and imports less subsidies,327,Nonmetallic mineral products manufacturing,1102.0,1165.0,1240.0,1326.0,1304.0,1359.0,1316.0,1314.0,1296.0,1288.0,0.0
5419,United States,Taxes on production and imports less subsidies,331,Primary metals manufacturing,2075.0,2136.0,2191.0,2359.0,2297.0,2430.0,2408.0,2458.0,2395.0,2399.0,0.0
5420,United States,Taxes on production and imports less subsidies,332,Fabricated metal products,2433.0,2529.0,2622.0,2868.0,2874.0,3147.0,3004.0,3106.0,3243.0,3682.0,0.0
5421,United States,Taxes on production and imports less subsidies,333,Machinery manufacturing,2774.0,2921.0,3065.0,3282.0,3075.0,3254.0,3257.0,3389.0,3450.0,3503.0,0.0
5422,United States,Taxes on production and imports less subsidies,334,Computer and electronic products manufacturing,4763.0,5065.0,5264.0,5731.0,6845.0,7135.0,7058.0,7210.0,7269.0,7814.0,0.0
5423,United States,Taxes on production and imports less subsidies,335,"Electrical equipment, appliance, and components manufacturing",903.0,1087.0,1005.0,1030.0,982.0,818.0,188.0,-13.0,294.0,751.0,0.0
5424,United States,Taxes on production and imports less subsidies,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",2236.0,2317.0,2391.0,2447.0,2966.0,2977.0,2991.0,3002.0,3072.0,3126.0,0.0
5425,United States,Taxes on production and imports less subsidies,"3364-3366, 3369",Other transportation equipment manufacturing,1628.0,1748.0,1866.0,2024.0,2098.0,2268.0,2202.0,2201.0,2340.0,2366.0,0.0
5426,United States,Taxes on production and imports less subsidies,337,Furniture and related products manufacturing,355.0,383.0,404.0,416.0,398.0,405.0,393.0,391.0,384.0,382.0,0.0
5427,United States,Taxes on production and imports less subsidies,339,Miscellaneous manufacturing,1030.0,1096.0,1134.0,1206.0,1594.0,1693.0,1679.0,1740.0,1766.0,3053.0,0.0
5429,United States,Taxes on production and imports less subsidies,311-312,Food and beverage and tobacco products manufacturing,20124.0,21453.0,21902.0,21801.0,21954.0,31158.0,32713.0,32189.0,32604.0,32044.0,0.0
5430,United States,Taxes on production and imports less subsidies,313-314,Textile mills and textile product mills,709.0,731.0,733.0,761.0,666.0,687.0,652.0,631.0,614.0,605.0,0.0
5431,United States,Taxes on production and imports less subsidies,315-316,Apparel and leather and allied products manufacturing,302.0,316.0,324.0,332.0,310.0,318.0,302.0,302.0,286.0,279.0,0.0
5432,United States,Taxes on production and imports less subsidies,322,Paper products manufacturing,1725.0,1763.0,1825.0,1911.0,1813.0,1879.0,1832.0,1822.0,1767.0,1789.0,0.0
5433,United States,Taxes on production and imports less subsidies,323,Printing and related support activities,830.0,886.0,913.0,970.0,851.0,876.0,837.0,822.0,797.0,792.0,0.0
5434,United States,Taxes on production and imports less subsidies,324,Petroleum and coal products manufacturing,2051.0,2244.0,2513.0,2845.0,3023.0,3282.0,3274.0,3381.0,3049.0,3324.0,0.0
5435,United States,Taxes on production and imports less subsidies,325,Chemical products manufacturing,5196.0,5467.0,5803.0,6244.0,10487.0,11635.0,11930.0,14827.0,15292.0,15797.0,0.0
5436,United States,Taxes on production and imports less subsidies,326,Plastics and rubber products manufacturing,1677.0,1777.0,1801.0,1900.0,1832.0,1815.0,1816.0,1960.0,1833.0,1953.0,0.0
5437,United States,Taxes on production and imports less subsidies,42,Wholesale trade,154537.0,163976.0,174296.0,175323.0,172785.0,158637.0,169454.0,183973.0,191602.0,201218.0,0.0
5438,United States,Taxes on production and imports less subsidies,44-45,Retail trade,157560.0,170702.0,181308.0,184327.0,179268.0,167860.0,178565.0,186443.0,192059.0,203565.0,0.0
5440,United States,Taxes on production and imports less subsidies,481,Air transportation,13697.0,15083.0,14237.0,15644.0,15262.0,14337.0,13576.0,16244.0,15625.0,19184.0,0.0
5441,United States,Taxes on production and imports less subsidies,482,Rail transportation,-593.0,-709.0,-546.0,-344.0,-362.0,-762.0,-1212.0,-538.0,22.0,66.0,0.0
5442,United States,Taxes on production and imports less subsidies,483,Water transportation,70.0,538.0,456.0,663.0,527.0,391.0,618.0,586.0,336.0,744.0,0.0
5443,United States,Taxes on production and imports less subsidies,484,Truck transportation,2319.0,2626.0,2821.0,2865.0,3110.0,3134.0,3186.0,3350.0,3509.0,3652.0,0.0
5444,United States,Taxes on production and imports less subsidies,485,Transit and ground passenger transportation,843.0,920.0,978.0,1057.0,940.0,1351.0,1472.0,1399.0,1479.0,1541.0,0.0
5445,United States,Taxes on production and imports less subsidies,486,Pipeline transportation,1564.0,1723.0,1840.0,2081.0,2054.0,2176.0,2307.0,2419.0,2526.0,2607.0,0.0
5446,United States,Taxes on production and imports less subsidies,"487-488, 492",Other transportation and support activities,1897.0,1950.0,2039.0,2081.0,2007.0,2094.0,2059.0,2068.0,2078.0,2100.0,0.0
5447,United States,Taxes on production and imports less subsidies,493,Warehousing and storage,466.0,497.0,557.0,598.0,594.0,625.0,624.0,627.0,618.0,632.0,0.0
5449,United States,Taxes on production and imports less subsidies,511,"Publishing industries, except Internet (includes software)",1832.0,1921.0,2016.0,2093.0,3541.0,3763.0,3760.0,3869.0,3652.0,3713.0,0.0
5450,United States,Taxes on production and imports less subsidies,512,Motion picture and sound recording industries,2577.0,2874.0,3111.0,3456.0,5876.0,6136.0,6214.0,6281.0,6415.0,6620.0,0.0
5451,United States,Taxes on production and imports less subsidies,"515, 517",Broadcasting and telecommunications,36271.0,37605.0,37193.0,36095.0,32609.0,31447.0,31332.0,31820.0,31819.0,32817.0,0.0
5452,United States,Taxes on production and imports less subsidies,"518, 519","Data processing, internet publishing, and other information services",1168.0,1269.0,1384.0,1496.0,1958.0,2072.0,2273.0,2628.0,2535.0,2668.0,0.0
5455,United States,Taxes on production and imports less subsidies,521-522,"Federal Reserve banks, credit intermediation, and related services",11782.0,12584.0,13372.0,14249.0,15095.0,16024.0,16047.0,16772.0,17846.0,18219.0,0.0
5456,United States,Taxes on production and imports less subsidies,523,"Securities, commodity contracts, and investments",3268.0,3846.0,4036.0,4680.0,5060.0,4988.0,4910.0,4998.0,4602.0,4632.0,0.0
5458,United States,Taxes on production and imports less subsidies,525,"Funds, trusts, and other financial vehicles",2286.0,2686.0,3005.0,3565.0,3803.0,3965.0,3873.0,4057.0,1168.0,1161.0,0.0
5460,United States,Taxes on production and imports less subsidies,531,Real estate,157958.0,164382.0,179539.0,187188.0,196613.0,207210.0,206802.0,207856.0,214047.0,215231.0,0.0
5461,United States,Taxes on production and imports less subsidies,532-533,Rental and leasing services and lessors of intangible assets,12136.0,13455.0,15059.0,16175.0,14209.0,13421.0,13757.0,14767.0,16453.0,17340.0,0.0
5464,United States,Taxes on production and imports less subsidies,5411,Legal services,17975.0,23753.0,22197.0,19218.0,13600.0,9405.0,9583.0,10807.0,12280.0,14564.0,0.0
5465,United States,Taxes on production and imports less subsidies,5415,Computer systems design and related services,2642.0,2852.0,3195.0,3610.0,3487.0,3458.0,3697.0,4100.0,4404.0,4611.0,0.0
5466,United States,Taxes on production and imports less subsidies,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",6513.0,7109.0,7704.0,8462.0,10053.0,10496.0,10737.0,11190.0,11275.0,11677.0,0.0
5467,United States,Taxes on production and imports less subsidies,55,Management of companies and enterprises,7409.0,8017.0,8700.0,9434.0,9706.0,9109.0,8989.0,9196.0,8905.0,8966.0,0.0
5469,United States,Taxes on production and imports less subsidies,561,Administrative and support services,5056.0,5459.0,5850.0,6297.0,6210.0,6079.0,6318.0,6713.0,7156.0,7522.0,0.0
5470,United States,Taxes on production and imports less subsidies,562,Waste management and remediation services,2365.0,2425.0,2621.0,2763.0,2745.0,2857.0,2965.0,3130.0,3245.0,3331.0,0.0
5472,United States,Taxes on production and imports less subsidies,61,Educational services,5284.0,5765.0,6247.0,6690.0,6869.0,7596.0,7716.0,7974.0,8094.0,8351.0,0.0
5474,United States,Taxes on production and imports less subsidies,621,Ambulatory health care services,6802.0,7251.0,7748.0,8204.0,7270.0,7949.0,7987.0,8197.0,8227.0,8431.0,0.0
5475,United States,Taxes on production and imports less subsidies,622-623,Hospitals and nursing and residential care facilities,11749.0,13448.0,14560.0,15920.0,15229.0,15789.0,15806.0,12044.0,15042.0,15463.0,0.0
5476,United States,Taxes on production and imports less subsidies,624,Social assistance,909.0,976.0,1045.0,1141.0,1251.0,1312.0,1335.0,1346.0,1428.0,1487.0,0.0
5479,United States,Taxes on production and imports less subsidies,711-712,"Performing arts, spectator sports, museums, and related activities",4752.0,5141.0,5547.0,6222.0,6835.0,6825.0,6841.0,7005.0,7174.0,7408.0,0.0
5480,United States,Taxes on production and imports less subsidies,713,"Amusements, gambling, and recreation industries",6300.0,6748.0,7438.0,9071.0,8553.0,8142.0,8921.0,9052.0,10298.0,10441.0,0.0
5482,United States,Taxes on production and imports less subsidies,721,Accommodation,14291.0,16083.0,17484.0,19165.0,20051.0,19326.0,20281.0,21345.0,22362.0,23627.0,0.0
5483,United States,Taxes on production and imports less subsidies,722,Food services and drinking places,28968.0,31416.0,34008.0,36012.0,36020.0,35721.0,37601.0,35394.0,36888.0,38830.0,0.0
5484,United States,Taxes on production and imports less subsidies,81,"Other services, except government",14374.0,15545.0,16676.0,17279.0,17547.0,17701.0,17764.0,18395.0,18844.0,19688.0,0.0
5485,United States,Taxes on production and imports less subsidies,92,Government,-16531.0,-16963.0,-17491.0,-18673.0,-20381.0,-22500.0,-20781.0,-22724.0,-22526.0,-24107.0,0.0
