date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum
2006,18,N00007665,0.0,2.0,HI,309.0,376.54,1.0,0.0,286.139
2008,20,N00007665,0.0,2.0,HI,376.54,13.66,2.0,0.0,334.095
2006,24,N00001143,0.0,2.0,NY,124.76299999999999,140.755,1.0,0.0,197.87400000000002
2008,26,N00001143,0.0,22.0,NY,140.755,151.65,0.0,0.0,243.545
2010,28,N00001143,0.0,9.0,NY,151.65,138.25,0.0,0.0,194.317
2012,30,N00001143,0.0,2.0,NY,138.25,0.0,0.0,0.0,38.5
2006,30,N00007653,0.0,24.0,HI,314.85,60.681999999999995,8.0,0.0,1022.3919999999999
2012,36,N00007653,0.0,9.0,HI,3.5,0.0,0.0,1.0,3.51
2006,16,N00009082,0.0,17.0,CO,26.878,13.0,1.0,0.0,104.0
2008,18,N00009082,0.0,4.0,CO,13.0,0.0,0.0,0.0,1.0
2006,17,N00000826,0.0,12.0,NJ,293.309,463.42400000000004,4.0,0.0,397.272
2008,19,N00000826,0.0,10.0,NJ,463.42400000000004,269.332,0.0,0.0,396.293
2010,21,N00000826,0.0,4.0,NJ,269.332,214.49099999999999,1.0,0.0,372.289
2012,23,N00000826,0.0,24.0,NJ,214.49099999999999,416.509,0.0,0.0,552.115
2006,14,N00008091,0.0,3.0,AL,452.256,481.3,0.0,0.0,631.145
2008,16,N00008091,0.0,1.0,AL,481.3,482.051,0.0,0.0,461.4
2010,18,N00008091,0.0,1.0,AL,482.051,740.304,1.0,0.0,562.89
2012,20,N00008091,0.0,1.0,AL,740.304,291.231,2.0,0.0,860.8589999999997
2014,22,N00008091,0.0,2.0,AL,291.231,0.0,0.0,0.0,1.0
2006,20,N00005407,0.0,9.0,LA,390.034,336.031,0.0,2.0,463.219
2006,14,N00002017,0.0,3.0,MD,58.7,57.9,0.0,0.0,85.428
2008,16,N00002017,0.0,3.0,MD,57.9,54.5,1.0,0.0,87.521
