date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum,unemplag_1,logleg_totalbills,logamtsumlag_1,logamtsumfwd_1,logamtsum,exp_5_9,exp_10_19,exp20,post2009years,amtsum_5to9exp,amtsum_10to19exp,amtsum_exp20,amtsumlag1_5to9exp,amtsumlag1_10to19exp,amtsumlag1_exp20,amtsumfwd1_5to9exp,amtsumfwd1_10to19exp,amtsumfwd1_exp20,amtsum_post2009years,amtsumfwd1_post2009years,amtsumlag1_post2009years,logamtsum_5to9exp,logamtsum_10to19exp,logamtsum_exp20,logamtsumlag1_5to9exp,logamtsumlag1_10to19exp,logamtsumlag1_exp20,logamtsumfwd1_5to9exp,logamtsumfwd1_10to19exp,logamtsumfwd1_exp20,logamtsum_post2009years,logamtsumfwd1_post2009years,logamtsumlag1_post2009years
2006,18,N00007665,0.0,2.0,HI,309.0,376.54,1.0,0.0,286.139,2.9,0.6931471805599453,5.733341276897746,5.931024283296566,5.656477706739323,0,1,0,2006,0.0,286.139,0.0,0.0,309.0,0.0,0.0,376.54,0.0,573994.834,755339.24,619854.0,0.0,5.656477706739323,0.0,0.0,5.733341276897746,0.0,0.0,5.931024283296566,0.0,11346.894279719081,11897.634712292911,11501.082601456877
2008,20,N00007665,0.0,2.0,HI,376.54,13.66,2.0,0.0,334.095,2.8,0.6931471805599453,5.931024283296566,2.614471854142644,5.8114253836715575,0,0,1,2008,0.0,0.0,334.095,0.0,0.0,376.54,0.0,0.0,13.66,670862.76,27429.28,756092.3200000001,0.0,0.0,5.8114253836715575,0.0,0.0,5.931024283296566,0.0,0.0,2.614471854142644,11669.342170412487,5249.859483118429,11909.496760859503
2006,24,N00001143,0.0,2.0,NY,124.763,140.755,1.0,0.0,197.874,5.0,0.6931471805599453,4.826415937619142,4.947020790367524,5.287630464492891,0,0,1,2006,0.0,0.0,197.874,0.0,0.0,124.763,0.0,0.0,140.755,396935.244,282354.52999999997,250274.578,0.0,0.0,5.287630464492891,0.0,0.0,4.826415937619142,0.0,0.0,4.947020790367524,10606.98671177274,9923.723705477252,9681.790370863999
2008,26,N00001143,0.0,22.0,NY,140.755,151.65,0.0,0.0,243.545,4.6,3.091042453358316,4.947020790367524,5.02157523413459,5.495301730376449,0,0,1,2008,0.0,0.0,243.545,0.0,0.0,140.755,0.0,0.0,151.65,489038.36,304513.2,282636.04,0.0,0.0,5.495301730376449,0.0,0.0,4.947020790367524,0.0,0.0,5.02157523413459,11034.565874595908,10083.323070142258,9933.617747057988
2010,28,N00001143,0.0,9.0,NY,151.65,138.25,0.0,0.0,194.317,8.3,2.1972245773362196,5.02157523413459,4.929063640402444,5.2694908461227055,0,0,1,1,0.0,0.0,194.317,0.0,0.0,151.65,0.0,0.0,138.25,194.317,138.25,151.65,0.0,0.0,5.2694908461227055,0.0,0.0,5.02157523413459,0.0,0.0,4.929063640402444,5.2694908461227055,4.929063640402444,5.02157523413459
2012,30,N00001143,0.0,2.0,NY,138.25,0.0,0.0,0.0,38.5,8.3,0.6931471805599453,4.929063640402444,0.0,3.6506582412937387,0,0,1,1,0.0,0.0,38.5,0.0,0.0,138.25,0.0,0.0,0.0,38.5,0.0,138.25,0.0,0.0,3.6506582412937387,0.0,0.0,4.929063640402444,0.0,0.0,0.0,3.6506582412937387,0.0,4.929063640402444
2006,30,N00007653,0.0,24.0,HI,314.85,60.682,8.0,0.0,1022.392,2.9,3.1780538303479458,5.752096334934752,4.105647113726227,6.929900258866523,0,0,1,2006,0.0,0.0,1022.392,0.0,0.0,314.85,0.0,0.0,60.682,2050918.3520000002,121728.092,631589.1000000001,0.0,0.0,6.929900258866523,0.0,0.0,5.752096334934752,0.0,0.0,4.105647113726227,13901.379919286244,8235.928110134812,11538.705247879112
2012,36,N00007653,0.0,9.0,HI,3.5,0.0,0.0,1.0,3.51,6.8,2.1972245773362196,1.252762968495368,0.0,1.2556160374777743,0,0,1,1,0.0,0.0,3.51,0.0,0.0,3.5,0.0,0.0,0.0,3.51,0.0,3.5,0.0,0.0,1.2556160374777743,0.0,0.0,1.252762968495368,0.0,0.0,0.0,1.2556160374777743,0.0,1.252762968495368
2006,16,N00009082,0.0,17.0,CO,26.878,13.0,1.0,0.0,104.0,5.0,2.833213344056216,3.2913081081248725,2.5649493574615367,4.6443908991413725,0,1,0,2006,0.0,104.0,0.0,0.0,26.878,0.0,0.0,13.0,0.0,208624.0,26078.0,53917.268000000004,0.0,4.6443908991413725,0.0,0.0,3.2913081081248725,0.0,0.0,2.5649493574615367,0.0,9316.648143677594,5145.288411067842,6602.364064898495
2008,18,N00009082,0.0,4.0,CO,13.0,0.0,0.0,0.0,1.0,3.7,1.3862943611198906,2.5649493574615367,0.0,0.0,0,1,0,2008,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2008.0,0.0,26104.0,0.0,0.0,0.0,0.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,5150.418309782765
