       input id   nearc2   nearc4   nearc4a   nearc4b   ed76   ed66   age76   daded   nodaded   momed   nomomed    weight   momdad14   sinmom14   step14
1             2        0        0         0         0      7      5      29    9.94         1   10.25         1    158413          1          0        0
2             3        0        0         0         0     12     11      27    8.00         0    8.00         0    380166          1          0        0
3             4        0        0         0         0     12     12      34   14.00         0   12.00         0    367470          1          0        0
4             5        1        1         1         0     11     11      27   11.00         0   12.00         0    380166          1          0        0
5             6        1        1         1         0     12     12      34    8.00         0    7.00         0    367470          1          0        0
6             7        1        1         1         0     12     11      26    9.00         0   12.00         0    380166          1          0        0
7             8        1        1         1         0     18     16      33   14.00         0   14.00         0    367470          1          0        0
8             9        1        1         1         0     14     13      29   14.00         0   14.00         0    496635          1          0        0
9            10        1        1         1         0     12     12      28   12.00         0   12.00         0    367772          1          0        0
10           11        1        1         1         0     12     12      29   12.00         0   12.00         0    480445          1          0        0
11           12        1        1         0         1      9      9      28   11.00         0   12.00         0    380166          1          0        0
12           13        1        1         0         1     12     10      26   11.00         0    6.00         0    380166          1          0        0
13           14        1        1         0         1     11      9      24   11.00         0    6.00         0    369567          1          0        0
14           15        1        1         0         1     11      9      30   11.00         0    6.00         0    496635          1          0        0
15           16        1        1         0         1     16     16      31    9.94         1    8.00         0    648053          0          1        0
16           17        1        1         0         1     14      8      24   15.00         0   12.00         0    357519          1          0        0
17           18        1        1         0         1     11     11      34    7.00         0   12.00         0    367470          1          0        0
18           19        1        1         0         1     12     12      34   12.00         0    8.00         0    367470          1          0        0
       reg661   reg662   reg663   reg664   reg665   reg666   reg667   reg668   reg669   south66   work76   work78      lwage76      lwage78   famed   black
1           1        0        0        0        0        0        0        0        0         0        1        1   6.30627529   6.07484616       9       1
2           1        0        0        0        0        0        0        0        0         0        1        0   6.17586727            .       8       0
3           1        0        0        0        0        0        0        0        0         0        1        0   6.58063914            .       2       0
4           0        1        0        0        0        0        0        0        0         0        1        0   5.52146092            .       6       0
5           0        1        0        0        0        0        0        0        0         0        1        1   6.59167373   6.54484979       8       0
6           0        1        0        0        0        0        0        0        0         0        1        1   6.21460810   6.19351769       6       0
7           0        1        0        0        0        0        0        0        0         0        1        1   6.33682573   6.46553598       1       0
8           0        1        0        0        0        0        0        0        0         0        1        1   6.41017488   6.53100438       1       0
9           0        1        0        0        0        0        0        0        0         0        1        1   6.05208917   6.14809662       3       0
10          0        1        0        0        0        0        0        0        0         0        1        1   6.24416690   6.25716771       3       0
11          0        0        0        0        0        0        0        0        1         0        1        1   5.41610040   5.64406324       6       0
12          0        1        0        0        0        0        0        0        0         0        1        1   5.99146455   5.91232723       8       0
13          0        1        0        0        0        0        0        0        0         0        1        0   6.03308622            .       8       0
14          0        1        0        0        0        0        0        0        0         0        1        1   5.37989735   6.06882808       8       0
15          0        1        0        0        0        0        0        0        0         0        1        1   6.79570578   6.80528912       9       1
16          0        1        0        0        0        0        0        0        0         0        1        0   5.70378247            .       2       0
17          0        1        0        0        0        0        0        0        0         0        0        0            .            .       6       0
18          0        1        0        0        0        0        0        0        0         0        1        1   5.84643878   5.78716408       5       0
       smsa76r   smsa78r   reg76r   reg78r   reg80r   smsa66r   wage76   wage78   wage80   noint78   noint80   enroll76   enroll78   enroll80   kww    iq
1            1         1        0        0        0         1      548      500      755         0         0          0          0          0    15     .
2            1         1        0        0        0         1      481        .      769         0         0          0          0          0    35    93
3            1         .        0        .        .         1      721        .        .         1         1          0          .          .    42   103
4            1         .        0        .        0         1      250        .        .         1         0          0          .          0    25    88
5            1         1        0        0        .         1      729      800        .         0         1          0          0          .    34   108
6            1         1        0        0        0         1      500      563      630         0         0          0          0          0    38    85
7            1         1        0        0        0         1      565      739      808         0         0          0          0          0    41   119
8            1         1        0        0        0         1      608      789      825         0         0          0          0          0    46   108
9            1         1        0        0        0         1      425      538      650         0         0          0          0          0    32    96
10           1         1        0        0        0         1      515      600      600         0         0          0          0          0    34    97
11           1         1        0        0        0         1      225      325        .         0         0          0          0          0    29    84
12           1         1        0        0        0         1      400      425      578         0         0          0          0          0    34    89
13           1         .        0        .        .         1      417        .        .         1         1          0          .          .    22    93
14           1         1        0        0        0         1      217      497      563         0         0          0          0          0    27    74
15           1         1        0        0        0         1      894     1038     1400         0         0          0          0          0    43   116
16           1         1        0        0        0         1      300        .        .         0         0          0          0          0    36     .
17           1         1        0        0        0         1        .        .        .         0         0          0          0          0    37   104
18           1         1        0        0        0         1      346      375        .         0         0          0          0          0    40    93
       marsta76   marsta78   marsta80   libcrd14   exp76   exp762
1             1          1          1          0      16      256
2             1          4          4          1       9       81
3             1          .          .          1      16      256
4             1          .          5          1      10      100
5             1          1          .          0      16      256
6             1          4          4          1       8       64
7             1          1          1          1       9       81
8             1          1          1          1       9       81
9             4          4          4          0      10      100
10            1          1          1          1      11      121
11            1          1          1          0      13      169
12            1          1          1          1       8       64
13            1          .          .          1       7       49
14            1          1          1          0      13      169
15            1          1          1          1       9       81
16            6          1          1          1       4       16
17            1          1          1          0      17      289
18            1          5          1          1      16      256
 [ reached getOption("max.print") -- omitted 3595 rows ]
