,GeoName,IndustryClassification,Description,ComponentName,year,GDP
0,California,531,Real estate,Real GDP by state,2004,273500.0
1,California,92,Government,Real GDP by state,2004,252417.0
2,California,44-45,Retail trade,Real GDP by state,2004,126134.0
3,California,42,Wholesale trade,Real GDP by state,2004,102948.0
4,California,23,Construction,Real GDP by state,2004,102514.0
5,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2004,85998.0
6,California,81,"Other services, except government",Real GDP by state,2004,50556.0
7,California,621,Ambulatory health care services,Real GDP by state,2004,49282.0
8,California,561,Administrative and support services,Real GDP by state,2004,47198.0
9,California,512,Motion picture and sound recording industries,Real GDP by state,2004,45084.0
10,California,531,Real estate,Real GDP by state,2005,295482.0
11,California,92,Government,Real GDP by state,2005,253501.0
12,California,44-45,Retail trade,Real GDP by state,2005,129011.0
13,California,42,Wholesale trade,Real GDP by state,2005,110209.0
14,California,23,Construction,Real GDP by state,2005,105494.0
15,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2005,88125.0
16,California,81,"Other services, except government",Real GDP by state,2005,50563.0
17,California,621,Ambulatory health care services,Real GDP by state,2005,50645.0
18,California,561,Administrative and support services,Real GDP by state,2005,50290.0
19,California,512,Motion picture and sound recording industries,Real GDP by state,2005,
20,California,531,Real estate,Real GDP by state,2006,295218.0
21,California,92,Government,Real GDP by state,2006,255793.0
22,California,44-45,Retail trade,Real GDP by state,2006,131016.0
23,California,42,Wholesale trade,Real GDP by state,2006,116287.0
24,California,23,Construction,Real GDP by state,2006,101959.0
25,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2006,92577.0
26,California,81,"Other services, except government",Real GDP by state,2006,50639.0
27,California,621,Ambulatory health care services,Real GDP by state,2006,53052.0
28,California,561,Administrative and support services,Real GDP by state,2006,52660.0
29,California,512,Motion picture and sound recording industries,Real GDP by state,2006,
30,California,531,Real estate,Real GDP by state,2007,305897.0
31,California,92,Government,Real GDP by state,2007,261253.0
32,California,44-45,Retail trade,Real GDP by state,2007,124341.0
33,California,42,Wholesale trade,Real GDP by state,2007,121513.0
34,California,23,Construction,Real GDP by state,2007,95971.0
35,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2007,95351.0
36,California,81,"Other services, except government",Real GDP by state,2007,
37,California,621,Ambulatory health care services,Real GDP by state,2007,52882.0
38,California,561,Administrative and support services,Real GDP by state,2007,54675.0
39,California,512,Motion picture and sound recording industries,Real GDP by state,2007,
40,California,531,Real estate,Real GDP by state,2008,311326.0
41,California,92,Government,Real GDP by state,2008,266004.0
42,California,44-45,Retail trade,Real GDP by state,2008,115040.0
43,California,42,Wholesale trade,Real GDP by state,2008,118458.0
44,California,23,Construction,Real GDP by state,2008,81862.0
45,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2008,105186.0
46,California,81,"Other services, except government",Real GDP by state,2008,
47,California,621,Ambulatory health care services,Real GDP by state,2008,56181.0
48,California,561,Administrative and support services,Real GDP by state,2008,54920.0
