,SICcode,Catcode,Category,SICname,MultSIC,2012 NAICS Code,2002to2007 NAICS
0,111,A1500,"Wheat, corn, soybeans and cash grain",Wheat,X,111140.0,111140.0
1,112,A1600,"Other commodities (incl rice, peanuts, honey)",Rice,X,111160.0,111160.0
2,115,A1500,"Wheat, corn, soybeans and cash grain",Corn,X,111150.0,111150.0
3,116,A1500,"Wheat, corn, soybeans and cash grain",Soybeans,X,111110.0,111110.0
4,119,A1500,"Wheat, corn, soybeans and cash grain","Cash grains, NEC",X,111120.0,111120.0
5,119,A1500,"Wheat, corn, soybeans and cash grain","Cash grains, NEC",X,111130.0,111130.0
6,119,A1500,"Wheat, corn, soybeans and cash grain","Cash grains, NEC",X,111150.0,111150.0
7,119,A1500,"Wheat, corn, soybeans and cash grain","Cash grains, NEC",X,111191.0,111191.0
8,119,A1500,"Wheat, corn, soybeans and cash grain","Cash grains, NEC",X,111199.0,111199.0
9,131,A1100,Cotton,Cotton,X,111920.0,111920.0
10,132,A1300,Tobacco & Tobacco products,Tobacco,X,111910.0,111910.0
11,133,A1200,Sugar cane & sugar beets,Sugarcane and sugar beets,X,111930.0,111930.0
12,133,A1200,Sugar cane & sugar beets,Sugarcane and sugar beets,X,111991.0,111991.0
13,134,A1400,"Vegetables, fruits and tree nut",Irish potatoes,X,111211.0,111211.0
14,139,A1500,"Wheat, corn, soybeans and cash grain","Field crops, except cash grains, NEC",X,111199.0,111199.0
15,139,A1500,"Wheat, corn, soybeans and cash grain","Field crops, except cash grains, NEC",X,111219.0,111219.0
16,139,A1500,"Wheat, corn, soybeans and cash grain","Field crops, except cash grains, NEC",X,111940.0,111940.0
17,139,A1500,"Wheat, corn, soybeans and cash grain","Field crops, except cash grains, NEC",X,111992.0,111992.0
18,139,A1500,"Wheat, corn, soybeans and cash grain","Field crops, except cash grains, NEC",X,111998.0,111998.0
19,161,A1400,"Vegetables, fruits and tree nut",Vegetables and melons,X,111219.0,111219.0
20,171,A1400,"Vegetables, fruits and tree nut",Berry crops,X,111333.0,111333.0
21,171,A1400,"Vegetables, fruits and tree nut",Berry crops,X,111334.0,111334.0
22,172,A1400,"Vegetables, fruits and tree nut",Grapes,X,111332.0,111332.0
23,173,A1400,"Vegetables, fruits and tree nut",Tree nuts,X,111335.0,111335.0
24,174,A1400,"Vegetables, fruits and tree nut",Citrus fruits,X,111310.0,111310.0
25,174,A1400,"Vegetables, fruits and tree nut",Citrus fruits,X,111320.0,111320.0
26,175,A1400,"Vegetables, fruits and tree nut",Deciduous tree fruits,X,111331.0,111331.0
27,175,A1400,"Vegetables, fruits and tree nut",Deciduous tree fruits,X,111339.0,111339.0
28,179,A1400,"Vegetables, fruits and tree nut","Fruits and tree nuts, NEC",X,111336.0,111336.0
29,179,A1400,"Vegetables, fruits and tree nut","Fruits and tree nuts, NEC",X,111339.0,111339.0
30,181,A8000,Florists & Nursery Services,Ornamental nursery products,X,111421.0,111421.0
31,181,A8000,Florists & Nursery Services,Ornamental nursery products,X,111422.0,111422.0
32,182,A1400,"Vegetables, fruits and tree nut",Food crops grown under cover,X,111411.0,111411.0
33,182,A1400,"Vegetables, fruits and tree nut",Food crops grown under cover,X,111419.0,111419.0
34,191,A1000,Crop production & basic processing,"General farms, primarily crop",X,111998.0,111998.0
35,211,A3300,Feedlots & related livestock services,Beef cattle feedlots,,112112.0,112112.0
36,212,A3000,Livestock,"Beef cattle, except feedlots",X,112111.0,112111.0
37,213,A3000,Livestock,Hogs,X,112210.0,112210.0
38,214,A3200,Sheep and Wool Producers,Sheep and goats,,112410.0,112410.0
39,214,A3200,Sheep and Wool Producers,Sheep and goats,,112420.0,112420.0
40,219,A3000,Livestock,"General livestock, NEC",X,112990.0,112990.0
41,241,A2000,Milk & dairy producers,Dairy farms,X,112111.0,112111.0
42,241,A2000,Milk & dairy producers,Dairy farms,X,112120.0,112120.0
43,251,A2300,Poultry & eggs,"Broiler, fryer and roaster chickens",X,112320.0,112320.0
44,252,A2300,Poultry & eggs,Chicken eggs,X,112310.0,112310.0
45,253,A2300,Poultry & eggs,Turkeys and turkey eggs,X,112330.0,112330.0
46,254,A2300,Poultry & eggs,Poultry hatcheries,X,112340.0,112340.0
47,259,A2300,Poultry & eggs,"Poultry & eggs, NEC",X,112390.0,112390.0
48,271,A3000,Livestock,Furbearing animals and rabbits,X,112930.0,112930.0
49,272,A3500,Horse Breeders,Horses and other equines,,112920.0,112920.0
50,273,E4100,Fishing,Animal aquaculture,X,112511.0,112511.0
51,273,E4100,Fishing,Animal aquaculture,X,112512.0,112512.0
52,273,E4100,Fishing,Animal aquaculture,X,112519.0,112519.0
53,279,A3000,Livestock,"Animal specialties, NEC",X,112519.0,112519.0
54,279,A3000,Livestock,"Animal specialties, NEC",X,112910.0,112910.0
55,279,A3000,Livestock,"Animal specialties, NEC",X,112990.0,112990.0
56,291,A3000,Livestock,"General farms, primarily animal",X,112990.0,112990.0
57,711,A4000,Agricultural services & related industries,Soil preparation services,X,115112.0,115112.0
58,721,A4000,Agricultural services & related industries,Crop planting and protecting,X,115112.0,115112.0
59,722,A4000,Agricultural services & related industries,Crop harvesting,X,115113.0,115113.0
60,723,A1000,Crop production & basic processing,Crop preparation services for market,X,115114.0,115114.0
61,723,A1000,Crop production & basic processing,Crop preparation services for market,X,311119.0,311119.0
62,724,A1100,Cotton,Cotton ginning,X,115111.0,115111.0
63,741,A4500,Veterinarians,Veterinary Services for Livestock,X,541940.0,541940.0
64,742,A4500,Veterinarians,"Veterinary services, specialties",X,541940.0,541940.0
65,751,A3000,Livestock,"Livestock services, exc specialties",X,115210.0,115210.0
66,751,A3000,Livestock,"Livestock services, exc specialties",X,311611.0,311611.0
67,752,A3000,Livestock,Animal specialty services,X,115210.0,115210.0
68,752,A3000,Livestock,Animal specialty services,X,812910.0,812910.0
69,761,A4000,Agricultural services & related industries,Farm labor contractors,X,115115.0,115115.0
70,762,A1000,Crop production & basic processing,Farm management services,X,115116.0,115116.0
71,781,B3600,Landscaping & Excavation Svcs,Landscape counseling and planning,X,541320.0,541320.0
72,781,B3600,Landscaping & Excavation Svcs,Landscape counseling and planning,X,541690.0,541690.0
73,782,B3600,Landscaping & Excavation Svcs,Lawn and garden services,X,561730.0,561730.0
74,783,A8000,Florists & Nursery Services,Ornamental shrub and tree services,X,561730.0,561730.0
75,811,A5000,Forestry & Forest Products,Timber tracts,X,111421.0,111421.0
76,811,A5000,Forestry & Forest Products,Timber tracts,X,113110.0,113110.0
77,831,A5000,Forestry & Forest Products,Forest products,X,111998.0,111998.0
78,831,A5000,Forestry & Forest Products,Forest products,X,113210.0,113210.0
79,851,A5000,Forestry & Forest Products,Forestry services,X,115310.0,115310.0
80,912,E4100,Fishing,Finfish,X,114111.0,114111.0
81,913,E4100,Fishing,Shellfish,X,114112.0,114112.0
82,919,E4100,Fishing,Miscellaneous marine products,X,111998.0,111998.0
83,919,E4100,Fishing,Miscellaneous marine products,X,112512.0,112512.0
